시군구명,업체명,영업상태명,표준산업분류명,소재지지번주소,소재지도로명주소,경도,위도,전화번호,데이터기준일자
과천시,원미,영업,제과점업,경기도 과천시 별양동 7-1,경기도 과천시 별양상가2로 29,126.992233,37.42588427,,2024-03-31
과천시,한국생활안전연구원,영업,커피 전문점,경기도 과천시 별양동 1-10,경기도 과천시 별양상가1로 25,126.9925287,37.42826559,,2024-03-31
과천시,호밀호두,영업,제과점업,경기도 과천시 원문동 4,경기도 과천시 별양로 12,126.9935031,37.42300267,02-507-5152,2024-03-31
과천시,트리플제이,영업,커피 전문점,경기도 과천시 별양동 1-18,경기도 과천시 별양상가2로 20,126.9925369,37.42681495,0507-1371-7284,2024-03-31
과천시,핀다커피,영업,커피 전문점,경기도 과천시 과천동 458-7,경기도 과천시 양지마을1로 47,126.9984666,37.44986044,070-8875-2500,2024-03-31
과천시,베이커리카페융가비,영업,제과점업,경기도 과천시 막계동 159-1,경기도 과천시 대공원광장로 102,127.0140833,37.43628659,02-507-4598,2024-03-31
과천시,라이스마일,영업,커피 전문점,경기도 과천시 원문동 4,경기도 과천시 별양로 12,126.9935031,37.42300267,0507-1363-6969,2024-03-31
과천시,카페베네,영업,커피 전문점,경기도 과천시 막계동 33,경기도 과천시 광명로 181,127.024135,37.43668538,02-509-6450,2024-03-31
과천시,연다담,영업,제과점업,경기도 과천시 과천동 489-3,경기도 과천시 양지마을4로 44-14,126.9931202,37.45327508,0507-1399-1292,2024-03-31
과천시,까페공이,영업,커피 전문점,경기도 과천시 과천동 358-4,경기도 과천시 뒷골로 4,127.001255,37.45265029,0507-1407-9372,2024-03-31
과천시,니드베이커리,영업,제과점업,경기도 과천시 문원동 358-12,경기도 과천시 사기막길 83,127.0014318,37.41893403,02-503-0222,2024-03-31
과천시,가원갤러리카페,영업,커피 전문점,경기도 과천시 문원동 226,경기도 과천시 새빛로 24,126.9991845,37.42396098,0507-1351-9241,2024-03-31
과천시,시오,영업,커피 전문점,경기도 과천시 문원동 115-34,경기도 과천시 문원청계길 39-15,127.0100358,37.42528682,0507-1398-5512,2024-03-31
과천시,커피인류과천래미안슈르,영업,커피 전문점,경기도 과천시 원문동 4,경기도 과천시 별양로 12,126.9935031,37.42300267,070-4333-1552,2024-03-31
과천시,타이거커피,영업,커피 전문점,경기도 과천시 중앙동 40-13,경기도 과천시 중앙로 137,126.9917194,37.42879933,,2024-03-31
과천시,카페언트,영업,커피 전문점,경기도 과천시 과천동 576-4,경기도 과천시 남태령옛길 97,126.9914812,37.45412612,0507-1370-7714,2024-03-31
과천시,1페이지,영업,커피 전문점,경기도 과천시 과천동 370-10,경기도 과천시 뒷골1로 18,127.0015303,37.45404926,0507-1481-1227,2024-03-31
과천시,브레쉬에비뉴과천KT점,영업,제과점업,경기도 과천시 중앙동 41-1,경기도 과천시 새술막길 39,126.9917222,37.4294301,0507-1442-2728,2024-03-31
과천시,카페모나,영업,커피 전문점,경기도 과천시 중앙동 36,경기도 과천시 관문로 130,126.9929056,37.43302642,,2024-03-31
과천시,메가엠지씨커피과천,영업,커피 전문점,경기도 과천시 별양동 1-13,경기도 과천시 별양상가2로 14,126.992982,37.42732334,0507-0288-7931,2024-03-31
과천시,카페,영업,커피 전문점,경기도 과천시 별양동 52,경기도 과천시 별양로 112,126.9970394,37.42807869,,2024-03-31
과천시,카페나루,영업,커피 전문점,경기도 과천시 문원동 15-168,경기도 과천시 문원로 57,127.0041918,37.42805806,02-509-7680,2024-03-31
과천시,김종석Coffee,영업,커피 전문점,경기도 과천시 과천동 541-4,경기도 과천시 향나무로 2,126.9965034,37.44706852,02-507-8178,2024-03-31
과천시,욜로,영업,커피 전문점,경기도 과천시 별양동 1-8,경기도 과천시 별양상가1로 30,126.9933083,37.42827224,0507-1303-8430,2024-03-31
과천시,투쓰리,영업,커피 전문점,경기도 과천시 별양동 1-16,경기도 과천시 별양상가1로 13,126.9915372,37.42722092,,2024-03-31
과천시,제니스베이커리,영업,제과점업,경기도 과천시 과천동 555-98,경기도 과천시 양지마을로 31,126.9965182,37.45019533,02-504-3508,2024-03-31
과천시,리치까페,영업,커피 전문점,경기도 과천시 과천동 521,경기도 과천시 양지마을로 22,126.9967107,37.44932293,,2024-03-31
과천시,스톨커피,영업,커피 전문점,경기도 과천시 과천동 354-1,경기도 과천시 뒷골2로 1,127.0019303,37.45286324,,2024-03-31
과천시,파리바게뜨과천역점,영업,제과점업,경기도 과천시 부림동 96,경기도 과천시 별양로 164,126.9989102,37.43268096,02-507-8900,2024-03-31
과천시,하늘아래카페,영업,커피 전문점,경기도 과천시 별양동 1-19,경기도 과천시 별양상가3로 11,126.9918435,37.42628642,,2024-03-31
과천시,블루이쉬브루커피,영업,커피 전문점,경기도 과천시 별양동 1-15,경기도 과천시 별양상가로 2,126.9920272,37.42774771,,2024-03-31
과천시,베이킹랩37,영업,제과점업,경기도 과천시 과천동 536-8,경기도 과천시 중앙로 371,126.9959731,37.44784794,,2024-03-31
과천시,뚜레쥬르과천부림점,영업,제과점업,경기도 과천시 부림동 36-5,경기도 과천시 부림3길 6-8,126.997835,37.43789801,02-503-1097,2024-03-31
과천시,이디야커피원문점,영업,커피 전문점,경기도 과천시 원문동 10,경기도 과천시 별양로 11,126.9919355,37.42279108,,2024-03-31
과천시,빽다방과천렉스타운점,영업,커피 전문점,경기도 과천시 별양동 1-10,경기도 과천시 별양상가1로 25,126.9925287,37.42826559,02-3418-7787,2024-03-31
과천시,카페리앙,영업,커피 전문점,경기도 과천시 막계동 33,경기도 과천시 광명로 181,127.024135,37.43668538,02-509-6001,2024-03-31
과천시,마린커피,영업,커피 전문점,경기도 과천시 원문동 4,경기도 과천시 별양로 12,126.9935031,37.42300267,0507-1360-9341,2024-03-31
과천시,쌀로만카스테라,영업,제과점업,경기도 과천시 문원동 115-154,경기도 과천시 문원청계길 22,127.0094041,37.42435343,,2024-03-31
과천시,카페마실,영업,커피 전문점,경기도 과천시 과천동 576-21,경기도 과천시 남태령옛길 41,126.9930913,37.45205841,02-3418-1278,2024-03-31
과천시,라이썬케이크,영업,제과점업,경기도 과천시 원문동 4,경기도 과천시 별양로 12,126.9935031,37.42300267,0507-1386-6414,2024-03-31
과천시,프롬더어스,영업,제과점업,경기도 과천시 별양동 1-6,경기도 과천시 별양상가1로 40,126.9937407,37.42804164,0507-1411-0547,2024-03-31
과천시,스마일찹쌀꽈배기,영업,제과점업,경기도 과천시 별양동 1-4,경기도 과천시 별양상가1로 35,126.9935533,37.42853563,02-502-1131,2024-03-31
과천시,한국생활안전연구원,영업,커피 전문점,경기도 과천시 별양동 19-3,경기도 과천시 향촌길 5-9,126.9959586,37.42694318,,2024-03-31
과천시,컴포즈커피과천렉스타운점,영업,커피 전문점,경기도 과천시 별양동 1-10,경기도 과천시 별양상가1로 25,126.9925287,37.42826559,070-8233-7774,2024-03-31
